"address_line1","city","postcode","profile_link","restaurant_name","state"
"4511 McKinney Ave","Dallas","75205-4213","https://www.opentable.com/r/mar-y-sol-dallas","Mar Y Sol","TX"
"4300 Lemmon Ave .","Dallas","75219","https://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lemmon-avenue","Bob's Steak & Chop House - Dallas on Lemmon Avenue","TX"
"10477 Lombardy Ln","Dallas","75220","https://www.opentable.com/pappas-bros-steakhouse-dallas","Pappas Bros. Steakhouse","TX"
"5625 Smu Blvd","Dallas","75206","https://www.opentable.com/r/oishii-smu-dallas","Oishii-SMU","TX"
"2525 Wycliff Ave","Dallas","75219-2574","https://www.opentable.com/r/oishii-sushi-dallas","Oishii Sushi","TX"
"8220 Westchester Dr","Dallas","75225","https://www.opentable.com/montlake-cut","Montlake Cut","TX"
"8383 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/true-food-kitchen-dallas","True Food Kitchen - Dallas","TX"
"8201 Preston Road","Dallas","75225","https://www.opentable.com/sevys-grill","Sevy's Grill","TX"
"3130 Knox St","Dallas","75205-4030","https://www.opentable.com/r/anchor-sushi-bar-knox-street-dallas","Anchor Sushi Bar - Knox Street","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/lapizza-and-lapasta-eataly-dallas","La Pizza & La Pasta - Eataly Dallas","TX"
"3848 Oak Lawn Ave 210","Dallas","75219","https://www.opentable.com/r/neighborhood-services-oak-lawn-dallas","Neighborhood Services - Oak Lawn","TX"
"5560 W Lovers Ln","Dallas","75209","https://www.opentable.com/r/doughbird-dallas","Doughbird - Dallas","TX"
"5330 W Lovers Lane","Dallas","75209","https://www.opentable.com/r/mesero-inwood-village-dallas","Mesero - Inwood Village","TX"
"5027 W Lovers Ln","Dallas","75209","https://www.opentable.com/neighborhood-services","Neighborhood Services - Lovers","TX"
"6501 Hillcrest Ave","Dallas","75205-1839","https://www.opentable.com/r/d-l-macks-hillcrest-dallas","D.L. Mack's - Hillcrest","TX"
"Hilton Anatole","Dallas","75207","https://www.opentable.com/ser-steak-and-spirits","SER Steak+Spirits","TX"
"10720 Preston Rd","Dallas","75230","https://www.opentable.com/r/d-l-macks-preston-hollow-dallas","D.L. Mack's - Preston Hollow","TX"
"1 Highland Park Village","Dallas","75205","https://www.opentable.com/r/sadelles-highland-park-dallas","Sadelle's Highland Park","TX"
"5307 E Mockingbird Ln","Dallas","75206-5109","https://www.opentable.com/r/the-finch-dallas","The Finch - Dallas","TX"
"6726 Shady Brook Ln","Dallas","75231-6508","https://www.opentable.com/r/steakyard-dallas","Steakyard","TX"
"1621 Oak Lawn Ave.","Dallas","75207","https://www.opentable.com/r/meddlesome-moth-dallas","Meddlesome Moth","TX"
"6025 Royal Ln","Dallas","75230-3892","https://www.opentable.com/r/anchor-sushi-bar-preston-hollow-dallas","Anchor Sushi Bar - Preston Hollow","TX"
"11909 Preston Rd. Suite 1418","Dallas","75230","https://www.opentable.com/the-mercury","The Mercury","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/terra-eataly-dallas","Terra - Eataly Dallas","TX"
"11700 Preston Rd suite 650","Dallas","75230-6112","https://www.opentable.com/r/oishii-preston-forest-dallas","Oishii - Preston Forest","TX"
"4503 W Lovers Ln","Dallas","75209-3131","https://www.opentable.com/r/celebration-restaurant-dallas","Celebration Restaurant","TX"
"6073 Forest Lane","Dallas","75230","https://www.opentable.com/r/woodlands-american-grill-dallas","Woodlands American Grill","TX"
"2821 Turtle Creek Blvd","Dallas","75219","https://www.opentable.com/r/the-rosewood-mansion-restaurant-on-turtle-creek-dallas","The Mansion Restaurant at Rosewood Mansion on Turtle Creek","TX"
"1628 Oak Lawn Ave Ste 100","Dallas","75207-3406","https://www.opentable.com/r/delucca-pizza-and-wine-dallas","Delucca Pizza & Wine - Dallas","TX"
"4152 Cole Ave ste 106","Dallas","75204-8245","https://www.opentable.com/r/maison-chinoise-dallas","Maison Chinoise","TX"
"4438 McKinney","Dallas","75205","https://www.opentable.com/origin-kitchen-and-bar","Origin Kitchen + Bar","TX"
"12300 Inwood Rd","Dallas","75244-8010","https://www.opentable.com/r/republic-texas-tavern-dallas","Republic Texas Tavern","TX"
